observation_date,GDP_log,XTIMVA01USM664S_log,XTEXVA01USM664S_log,GPDI_log,RPI_log,INDPRO_log,BUSLOANS_log,NONREVSL_log,UNRATE_diff,DFF_diff,GS1_diff,AAA_diff,IRLTLT01USM156N_diff,M1V,CUMFNS,CLF16OV,B235RC1Q027SBEA,ROWFDIQ027S,CPILFESL_inflation,PCEPI_inflation
1968-01-01,-1.4515095251937729,-1.5201039078077088,-1.5637337166139824,-1.4687168583091315,-1.3103944102464011,-1.2258352376727435,-1.4623630466181339,-1.3589769537751528,-0.27244471658801184,0.7075651842456915,-0.12688693591841707,0.2662959065046979,-0.06032702686556432,-0.7153596573617327,1.6290382987972107,-1.4624568298312262,-0.871255168312769,-0.7437990878074363,0.4887064332054303,0.39337870734871294
1968-04-01,-1.428691020297785,-1.4989535496356718,-1.5273418302757726,-1.4331510621031285,-1.279223357058248,-1.1954719784243655,-1.4408496755967146,-1.3409539161992587,-0.13380420992192327,1.3635226701889016,0.6667331723713208,0.320266325890569,0.28554792716367744,-0.691739110639462,1.6193439205740863,-1.4390657810104803,-0.8674078002462996,-0.7496849196895516,0.17027355733638358,0.33165115158030134
1968-07-01,-1.4139539833651342,-1.4705777588544875,-1.4838195709117026,-1.4503832195736774,-1.2518379499384815,-1.177944017985175,-1.406589096149536,-1.3235494117502105,-0.13380420992192327,-0.04045651025095169,-0.6087277159514729,-0.4623047552045439,-0.600756642536259,-0.6959908090494705,1.4963997348239035,-1.4347424699180942,-0.8611121070466222,-0.7497377074194361,0.7299875334969244,0.3503488030483741
1968-10-01,-1.3988396152717737,-1.4720457940807767,-1.5180007884693454,-1.4236992732215104,-1.2329161346088693,-1.1437703112970892,-1.3705964685290335,-1.3007953980672298,-0.13380420992192327,-0.04045651025095169,0.4683281452988857,0.4282071646623089,0.6746572504465757,-0.7040217949350427,1.5829798616743709,-1.4245794624994255,-0.8632106714465148,-0.7485499834970362,0.8446922243596565,0.4635252109647114
1969-01-01,-1.3770889902837922,-1.5363761207978361,-1.6000209106188616,-1.3656301343221382,-1.2157640770124403,-1.1000867044994547,-1.3331805423758998,-1.2804844408120253,0.004836296744165894,0.7420892624532291,0.7375921106114757,1.237763455450356,0.8908290967148539,-0.6855977684916716,1.6990690268400006,-1.4026725353969616,-0.8773759811457885,-0.7446964792154718,0.6700483716233743,0.24756732241395485
1969-04-01,-1.3638863025950378,-1.4018355596861403,-1.4291867761344672,-1.36402545149965,-1.19688281005447,-1.0902132502764466,-1.2871358826775376,-1.2614645701465552,0.004836296744165894,2.019480156132111,0.2982666935225133,0.509162793741112,0.3720166656709884,-0.6671737420483002,1.5474878911922172,-1.3867666221988544,-0.8507941654138178,-0.7472830779798095,1.0544415919923724,0.7247165691723738
1969-07-01,-1.3465776725177823,-1.4192934061027946,-1.4205332911359732,-1.3410310704316724,-1.1720718298270842,-1.063156134684126,-1.2566257522657185,-1.249712497933954,0.2821173100763442,0.7420892624532291,1.5312122189012125,0.45519237435524323,1.1070009429831322,-0.6289084563582217,1.531080460266467,-1.3639563166591755,-0.8558656960468911,-0.7464648681666006,0.7437341580852875,0.6493250196022411
1969-10-01,-1.339901418236508,-1.4106616632979172,-1.411527990412014,-1.369570625316185,-1.1597328529685862,-1.0774206852218853,-1.2324201323674586,-1.2398212650329643,0.004836296744165894,-0.05196453632013159,0.35495384411463743,1.102837406985682,0.9556806505953357,-0.6293808672926668,1.1932780257803148,-1.3500507414291871,-0.8593633033800453,-0.7413180645028674,0.7139515030851449,0.5433060599678314
1970-01-01,-1.3293703784948518,-1.39381303047845,-1.3907574593149743,-1.3865106715696949,-1.1483781756189484,-1.1330290132792753,-1.2198691436642382,-1.2320574616037476,0.8366793367407003,-0.44323742267221944,-0.4953534147672246,1.1298226166786163,0.15584481940271203,-0.6246567579482127,0.5170038796503537,-1.3273049629207379,-0.8586637819134144,-0.7369102890575164,0.9494205804777045,0.5388327390147503
1970-04-01,-1.3165004918380026,-1.3850614376443413,-1.3601419525791272,-1.3701427011126468,-1.1298397514430902,-1.1455323954701528,-1.2016423616429401,-1.2303638773222505,0.8366793367406997,-0.7884782047475949,-0.1410587235664478,0.6710740518987253,0.7395088043270593,-0.6057603205703961,0.23375767407677117,-1.3158514148774763,-0.8584889015467568,-0.7473094718447517,1.4346680059080845,0.4615268148602885
1970-07-01,-1.3018748468215209,-1.3755484792633261,-1.356974911325785,-1.3583496438508667,-1.1171163157257469,-1.1536629127429414,-1.1853871008612675,-1.2225219879030833,0.5593983234085226,-1.352371482137371,-0.7221020171357199,0.21232548711882926,-0.5359050886557754,-0.5953672800125969,-0.031397767113906426,-1.304655974959133,-0.8546415334802873,-0.7434295736982451,0.615800294318468,0.25064882623831614
1970-10-01,-1.299899046246879,-1.3576645217605865,-1.3627678746567577,-1.3932598453442524,-1.1217496277404055,-1.2032222325582953,-1.1912178596931142,-1.2192328524033296,0.8366793367406997,-1.3178474039298333,-1.8275014536821397,-0.8400976909056345,-1.3141237352215738,-0.632687743833785,-0.5864516232028177,-1.2857495548088476,-0.8516685672471065,-0.7468079884108495,1.0942758615774544,0.7664444530713969
1971-01-01,-1.264609862857001,-1.3314039329266192,-1.342092084960882,-1.286956247281166,-1.0990255114910041,-1.1599207555731874,-1.1801628412660055,-1.2098362799251667,0.1434768034102557,-1.973804889873044,-2.2668268707711023,-1.8655356592371615,-1.7897017970117828,-0.5708019114214354,-0.35433413624952986,-1.2800066490294093,-0.8527178494470525,-0.747335865709694,0.06425666290369379,0.2165522255092299
1971-04-01,-1.2490765821829122,-1.2823025759152478,-1.3443264351104165,-1.2532717041040302,-1.0739565952449681,-1.1394760842572778,-1.1869530929094654,-1.1937062874464213,0.004836296744165894,0.8111374188683039,1.3328071918287785,0.6710740518987228,0.5017197734319557,-0.5774156645036713,-0.32774558007689814,-1.2718439795788594,-0.84607239551406,-0.748655558956805,0.17137409718933252,0.5122093317231492
1971-07-01,-1.2336175553350597,-1.2718821254599926,-1.3034905240629786,-1.2335793875903331,-1.0645948899244022,-1.1324965717757345,-1.1883617914904556,-1.1750932423402858,0.14347680341025446,1.041297940251886,1.0777150141642193,0.2393106968117636,0.5017197734319557,-0.5741087879625532,-0.37808333478358724,-1.2508081673979956,-0.8238625889485318,-0.7609814938848225,-0.08469480787413917,0.26242041505069147
1971-10-01,-1.2246324832967035,-1.3149603746708391,-1.4305809429517178,-1.2487247610598406,-1.0417606671013133,-1.0805404483660401,-1.1781875935963462,-1.1511343739336615,-0.13380420992192266,-0.8460183350934902,-1.4448631871853015,-0.7051716424409579,-1.2708893659679192,-0.5708019114214354,-0.02657085912833172,-1.227029956389872,-0.790985080016884,-0.7464384743016584,-0.5790121567403385,-0.29834951302564516
1972-01-01,-1.1965611913797098,-1.2012003107989315,-1.301116354613662,-1.1898522918035075,-1.0109136214867833,-0.9858257760834093,-1.1720379677081076,-1.1289567708676451,-0.1338042099219239,-1.3868955603449087,-0.4528380518231312,-0.1924526582751932,0.30716511179050665,-0.5363159132069198,0.5075528749391061,-1.1983154274926806,-0.8268355551817128,-0.7587908030946181,-0.1032229533204848,0.38123090420871675
1972-04-01,-1.1724189089999082,-1.203583594562911,-1.3066080935404887,-1.137535044317755,-0.9897752288978461,-0.9432441909078951,-1.1501466166218695,-1.1024050471410185,-0.13380420992192266,0.8571695231450199,0.6100460217791954,0.13136985804002382,0.24231355791002104,-0.5051367915335225,0.7202816054461418,-1.178892791092558,-0.8420501470809327,-0.7464912620315429,-0.23514961257950526,-0.366731188600935
1972-07-01,-1.1564667070682344,-1.1802500641191298,-1.262795704033708,-1.1147806721421059,-0.9602552081470899,-0.9148088416796242,-1.1194894950217766,-1.0793357382927706,-0.1338042099219239,0.5004207150004677,0.43998457000282426,-0.19245265827519561,0.32878229641733386,-0.5093884899435315,0.823979002632003,-1.1614382291449394,-0.8375032575478326,-0.7429280902643429,-0.24412750244862522,0.10245680790305187
1972-10-01,-1.1317942231967677,-1.1394236247880891,-1.215286376564292,-1.0914765167173748,-0.8960930054230414,-0.8376139283410949,-1.1053435637120557,-1.0525170416555234,-0.2724447165880112,0.46589663679293003,0.4116409947067616,-0.19245265827519561,0.17746200402953927,-0.49663339471350515,1.3013155839279937,-1.1509848500857371,-0.8273601962816859,-0.7398136142011608,-0.5995448563244892,0.009634057671430865
1973-01-01,-1.1015297845297614,-1.0912082714494546,-1.1191153482397667,-1.0423213284734332,-0.8878478865655479,-0.7735667454998192,-1.0877985400738985,-1.0147727960833262,-0.6883662365862794,1.5936831915724832,1.2336046782925596,0.21232548711882926,0.5017197734319538,-0.4550612324823085,1.6968381029811201,-1.1330140718882815,-0.8149436902489889,-0.7280155565719878,-0.25910478159667055,0.6187404205119401
1973-04-01,-1.0795492856780913,-1.0659383623609924,-1.0572172349713802,-0.998124317602797,-0.874095886178655,-0.7544236785865086,-1.069033866246036,-0.9852855424217866,0.004836296744165894,1.4670949048115136,1.0068560759240643,0.2393106968117636,0.4584854041782993,-0.4177407686611208,1.6858051704426675,-1.1023959955698157,-0.8203649816153779,-0.7215754535260857,0.19543971660623113,1.7412649160324902
1973-07-01,-1.0677395666914227,-1.0435220048497014,-0.9967483711480537,-1.0101819943856292,-0.863035589908088,-0.7352701784187736,-1.0615315882283727,-0.9603124061691041,-0.1338042099219239,3.147266710911665,2.1122555124704845,0.7520296809775282,0.8692119120880267,-0.41112701557888487,1.6355485402399375,-1.0872644067464643,-0.8264857944483974,-0.7392065553074897,0.17536632904408744,1.585491481131379
1973-10-01,-1.0431487683966207,-0.9947457331266679,-0.9227038839672917,-0.9597654852837522,-0.8413769763822682,-0.7014001707671158,-1.0550152975814282,-0.9397051103593581,0.004836296744165894,-0.6503818919174453,-1.5582374883695498,0.15835506773296057,-0.9898659658191573,-0.3671927986754612,1.7888535715968563,-1.0572916007402948,-0.8240374693151895,-0.7503975540429917,1.1782889195103257,1.9437650313431607
1974-01-01,-1.0346736088039181,-0.8743807746639617,-0.8612214155144293,-0.9976129076056274,-0.8691727163896577,-0.7219897963535621,-1.0510767126965712,-0.9242272783757599,0.42075781674243284,-0.776970178678415,-0.08437157297432492,0.6710740518987228,0.6530400658197484,-0.38372718138105083,1.47102804621066,-1.0314807882484376,-0.8159929724489352,-0.7061878302647705,1.022229399057099,3.395633884403945
1974-04-01,-1.0129986421434851,-0.7882054128735902,-0.809308367683192,-0.9700938744209211,-0.8808362966141029,-0.7204280991351434,-1.0469685880863326,-0.9116963601858862,0.1434768034102557,2.2036085732389767,1.8996786977500186,1.2377634554503538,1.0637665737294757,-0.3402653754120723,1.2933653825399922,-1.024866767547399,-0.8086479970493118,-0.7390481921178363,2.626829078914268,3.1749089026914263
1974-07-01,-0.9966494539113063,-0.7418522897203751,-0.7811259051127546,-0.9894360180417351,-0.8767428542256803,-0.7286778314630482,-1.040488500425704,-0.9017251494195352,0.5593983234085214,0.9722497838368107,0.454156357650855,1.6965120202302522,0.9124462813416812,-0.311448308410902,1.0974497054784988,-1.0032824756010832,-0.7974556535832189,-0.710780362764717,3.904038185689945,2.9624017095015547
1974-10-01,-0.975494204455616,-0.7404763184567562,-0.7432443339150974,-0.9583426396705728,-0.8806595081850971,-0.8209989280651758,-1.030422829700547,-0.903101786265239,1.3912413634050564,-3.182147627136851,-1.8983603919222947,0.07739943865415272,-0.6223738271630863,-0.27554507739305056,0.2316078747218528,-0.9892478463086358,-0.7960566106499573,-0.7314203651495343,3.1124909355485038,2.7197599102371868
